gameid;tournament;gametype;teamA;teamB;resultA;resultB;addinfo;teamA_age;teamB_age;teamA_def_val;teamB_def_val;teamA_off_val;teamB_off_val;teamA_frag;teamB_frag
1023748;AM11;Gruppe A;Usbekistan;Kuwait;2;1;;25.956521739130434;25.043478260869566;309375.0;500000.0;564285.7142857143;500000.0;16;5
1023749;AM11;Gruppe A;China;Katar;0;2;;24.695652173913043;24.26086956521739;271875.0;210714.2857142857;282142.85714285716;366666.6666666667;12;7
1023741;AM11;Gruppe A;Kuwait;China;0;2;;24.958333333333332;24.695652173913043;500000.0;271875.0;500000.0;353571.4285714286;5;12
1023740;AM11;Gruppe A;Katar;Usbekistan;0;2;;24.26086956521739;25.956521739130434;207142.85714285713;322222.22222222225;355555.55555555556;569230.7692307692;7;16
1023758;AM11;Gruppe B;Saudi-Arabien;Japan;0;5;;26.130434782608695;24.80952380952381;609090.9090909091;1784615.3846153845;1158333.3333333333;3900000.0;6;15
1023759;AM11;Gruppe B;Jordanien;Syrien;2;1;;25.869565217391305;25.956521739130434;141666.66666666666;231818.18181818182;172222.22222222222;222222.22222222222;10;13
1023750;AM11;Gruppe B;Jordanien;Saudi-Arabien;1;0;;25.869565217391305;26.130434782608695;141666.66666666666;609090.9090909091;172222.22222222222;1158333.3333333333;10;6
1023751;AM11;Gruppe B;Syrien;Japan;1;2;;25.956521739130434;25.08695652173913;231818.18181818182;1807692.3076923077;222222.22222222222;3420000.0;13;17
1023742;AM11;Gruppe B;Japan;Jordanien;1;1;;25.08695652173913;25.869565217391305;1785714.2857142857;141666.66666666666;3388888.888888889;172222.22222222222;17;10
1023743;AM11;Gruppe B;Saudi-Arabien;Syrien;1;2;;26.130434782608695;25.91304347826087;609090.9090909091;236363.63636363635;1158333.3333333333;222222.22222222222;6;13
1023761;AM11;Gruppe C;Australien;Bahrain;1;0;;27.608695652173914;25.565217391304348;1886363.6363636365;235416.66666666666;3516666.6666666665;550000.0;22;11
1023760;AM11;Gruppe C;Südkorea;Indien;4;1;;24.91304347826087;26.26086956521739;1165384.6153846155;64583.333333333336;2580000.0;80555.55555555556;17;12
1023752;AM11;Gruppe C;Australien;Südkorea;1;1;;27.59090909090909;24.91304347826087;2050000.0;970833.3333333334;3512500.0;2663636.3636363638;21;17
1023753;AM11;Gruppe C;Bahrain;Indien;5;2;;25.565217391304348;26.217391304347824;235416.66666666666;62500.0;506250.0;83333.33333333333;11;12
1023744;AM11;Gruppe C;Indien;Australien;0;4;;26.17391304347826;27.565217391304348;61363.63636363636;1909090.9090909092;82500.0;3512500.0;12;22
1023745;AM11;Gruppe C;Südkorea;Bahrain;2;1;;25.09090909090909;25.214285714285715;1165384.6153846155;282142.85714285716;2650000.0;600000.0;17;8
1023763;AM11;Gruppe D;Vereinigte-Arabische-Emirate;Iran;0;3;;24.181818181818183;27.26086956521739;191666.66666666666;1295833.3333333333;220000.0;840909.0909090909;4;11
1023762;AM11;Gruppe D;Irak;Nordkorea;1;0;;24.391304347826086;25.0;172727.27272727274;287500.0;454545.45454545453;655000.0;16;9
1023754;AM11;Gruppe D;Iran;Nordkorea;1;0;;27.26086956521739;25.0;1240909.0909090908;287500.0;929166.6666666666;655000.0;11;9
1023755;AM11;Gruppe D;Vereinigte-Arabische-Emirate;Irak;0;1;;23.565217391304348;24.347826086956523;161538.46153846153;172727.27272727274;190000.0;454545.45454545453;5;16
1023746;AM11;Gruppe D;Nordkorea;Vereinigte-Arabische-Emirate;0;0;;25.0;23.565217391304348;287500.0;161538.46153846153;655000.0;190000.0;9;5
1023747;AM11;Gruppe D;Irak;Iran;1;2;;25.076923076923077;27.217391304347824;175000.0;1354545.4545454546;562500.0;825000.0;9;11
2530698;AM15;Finale;Südkorea;Australien;1;2;n.V.;25.904761904761905;26.545454545454547;1386538.4615384615;1477272.7272727273;2768750.0;1127272.7272727273;20;21
2530699;AM15;Spiel um Platz Drei;Irak;Vereinigte-Arabische-Emirate;2;3;;22.782608695652176;25.26086956521739;365909.0909090909;107692.30769230769;202083.33333333334;257500.0;14;5
2529903;AM15;Halbfinale;Australien;Vereinigte-Arabische-Emirate;2;0;;26.545454545454547;25.26086956521739;1477272.7272727273;119642.85714285714;1127272.7272727273;255555.55555555556;21;5
2529902;AM15;Halbfinale;Südkorea;Irak;2;0;;25.904761904761905;22.772727272727273;1466071.4285714286;343750.0;2807142.8571428573;217500.0;20;13
2528974;AM15;Viertelfinale;Iran;Irak;9;10;n.E.;26.47826086956522;22.695652173913043;825000.0;390384.6153846154;1238888.888888889;217500.0;15;14
2528975;AM15;Viertelfinale;Japan;Vereinigte-Arabische-Emirate;5;6;n.E.;26.695652173913043;25.09090909090909;2242307.6923076925;112500.0;4635000.0;250000.0;16;5
2528972;AM15;Viertelfinale;Südkorea;Usbekistan;2;0;n.V.;25.857142857142858;26.695652173913043;1466071.4285714286;1189583.3333333333;2807142.8571428573;438636.36363636365;20;12
2528973;AM15;Viertelfinale;China;Australien;0;2;;25.347826086956523;26.571428571428573;481818.1818181818;1363636.3636363635;508333.3333333333;1165000.0;8;21
2450325;AM15;Gruppe A;Oman;Kuwait;1;0;;26.0;26.26086956521739;195454.54545454544;117500.0;141666.66666666666;171428.57142857142;7;6
2450324;AM15;Gruppe A;Australien;Südkorea;0;1;;26.38095238095238;25.818181818181817;1045454.5454545454;1117307.6923076923;1165000.0;3405555.5555555555;20;20
2450317;AM15;Gruppe A;Kuwait;Südkorea;0;1;;26.26086956521739;25.77777777777778;119444.44444444444;1177500.0;162500.0;1581250.0;6;17
