gameid,tournament,gametype,team,teamid,result,age,diff_value_1,diff_value_2,past_result
1103439,CA11,Gruppe A,Bolivien,5233,1,27.869565217391305,-40414219.114219114,-37.621134859498746,5.702392842187499
1103440,CA11,Gruppe A,Kolumbien,3816,1,26.82608695652174,7717045.454545455,0.9854883180960673,1.9
1103440,CA11,Gruppe A,Costa Rica,8497,0,22.09090909090909,-7717045.454545455,-67.91,0.0
1103453,CA11,Gruppe B,Paraguay,3581,3,27.26086956521739,3101497.668997669,0.5692026497772245,1.9998750014861328
1103453,CA11,Gruppe B,Venezuela,3504,3,26.82608695652174,-3101497.668997669,-1.3212770447238738,0.95724379453125
1103454,CA11,Gruppe B,Brasilien,3439,4,26.136363636363637,25114166.666666664,0.8311362382790954,1.1901127991015625
1103454,CA11,Gruppe B,Ecuador,5750,2,27.08695652173913,-25114166.666666664,-4.921933692634329,0.950124703828125
1103447,CA11,Gruppe B,Brasilien,3439,2,25.956521739130434,24101153.846153848,0.8129605604566684,1.9096193890234374
1103447,CA11,Gruppe B,Paraguay,3581,2,27.09090909090909,-24101153.846153848,-4.3464659776652566,1.047612516328125
1103448,CA11,Gruppe B,Venezuela,3504,1,26.82608695652174,-2651730.769230769,-1.0819993722536094,1.0047505796112448
1103448,CA11,Gruppe B,Ecuador,5750,0,27.08695652173913,2651730.769230769,0.5196924584479704,3.802393139214843
1103441,CA11,Gruppe B,Brasilien,3439,0,25.956521739130434,27245384.615384616,0.9174718300738246,0.1903869171875
1103441,CA11,Gruppe B,Venezuela,3504,0,26.652173913043477,-27245384.615384616,-11.117074701820464,0.0047618750000000005
1103442,CA11,Gruppe B,Paraguay,3581,0,27.26086956521739,346346.153846154,0.0635632102774053,1.1924943437109374
1103442,CA11,Gruppe B,Ecuador,5750,0,27.08695652173913,-346346.153846154,-0.06787773715750212,1.0095059515625
1103455,CA11,Gruppe C,Chile,3700,1,26.130434782608695,6777724.358974359,0.7258756573437135,2.947618794492187
1103455,CA11,Gruppe C,Peru,3584,0,25.73913043478261,-6777724.358974359,-2.647979563981518,0.9548868608593749
1103456,CA11,Gruppe C,Uruguay,3449,1,27.08695652173913,12220995.670995671,0.8368497891608677,1.00236875
1103456,CA11,Gruppe C,Mexiko,6303,0,22.304347826086957,-12220995.670995671,-5.129320917556212,0.1474875
1103450,CA11,Gruppe C,Uruguay,3449,1,27.08695652173913,5562840.90909091,0.36851191536664507,0.0048809523046875
1103450,CA11,Gruppe C,Chile,3700,1,26.130434782608695,-5562840.90909091,-0.5835611539378527,1.9048747023808592
1103449,CA11,Gruppe C,Peru,3584,1,26.142857142857142,281111.111111111,0.0740632318501171,0.0475
1103449,CA11,Gruppe C,Mexiko,6303,0,23.357142857142858,-281111.111111111,-0.07998735377805888,3.8
1103443,CA11,Gruppe C,Uruguay,3449,1,27.08695652173913,12535833.333333336,0.8304397030003589,0.28500653206640625
1103443,CA11,Gruppe C,Peru,3584,1,25.73913043478261,-12535833.333333336,-4.897607032394597,0.957142813984375
1103444,CA11,Gruppe C,Chile,3700,2,26.130434782608695,7119114.21911422,0.7468195795303798,0.0475
